what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1335017329016
closed,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017329017
opened,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017332587
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017332640
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1335017373579
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017375214
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017375255
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017377026
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1335017377065
closed,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017377116
opened,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017380334
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017380381
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1335017384266
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1335017391714
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1335017396588
opened,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017396789
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017396843
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017404319
closed,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017404319
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1335017406137
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017408201
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017408247
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017409888
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1335017409926
opened,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017412641
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017412698
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017422888
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1335017425691
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1335017426879
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017428952
closed,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017428953
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1335017431504
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1335017433094
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1335017436110
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1335017440346
closed,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017440346
opened,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017442068
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017442425
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1335017448854
opened,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017449605
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017449660
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017456751
closed,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017456751
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1335017458159
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017460678
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017460723
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017462162
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1335017462202
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017514646
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017514697
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017529423
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1335017529464
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017534818
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017535343
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017539841
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1335017539881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017546389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017546439
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017550082
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1335017550124
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017569072
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017569124
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017576037
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1335017576076
opened,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017586508
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017586573
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017588595
closed,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017588595
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1335017589769
opened,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017589979
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017590044
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017591508
closed,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017591508
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1335017592817
opened,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017593034
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017593090
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017594733
closed,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017594733
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1335017595706
opened,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017595972
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017596036
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1335017596137
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017603905
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017603956
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335017607582
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1335017607625
opened,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017614421
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017614476
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017616555
closed,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017616555
activated,editor,com.google.gwt.eclipse.core,2.3.2.r36v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1335017617811
